year,rush,rush yrds,yrds/rush,rush td,YPG
2014,502.584,2241.904,4.35424,22.792,174.5656
2015,505.4645669,2278.968504,4.443307087,23.23622047,177.6031496
2016,508.3203125,2334.5625,4.528671875,24.078125,182.140625
2017,493.6744186,2209.527132,4.388139535,22.57364341,173.3682171
2018,499.4651163,2252.550388,4.442403101,23.4496124,175.9410853
2019,488.0692308,2175.476923,4.380769231,22.36153846,169.3430769
2021,478.8923077,2082.538462,4.288769231,21.54615385,162.59
2022,470.7615385,2039.415385,4.263230769,21.56923077,158.67
2023,459.8846154,1999.007692,4.287307692,20.86153846,155.3
2024,462.4210526,2049.105263,4.363984962,21.72932331,158.9819549
