year,g,w-l,pass att,pass com,int,pass yds,yds/att,yds/comp,pass td,ypg,
2014,13,#DIV/0!,415,245,12,2972,7,12,21,233,
2015,13,#DIV/0!,408,240,11,2981,7,13,21,232,
2016,13,#DIV/0!,404,238,11,2987,7,13,22,234,
2017,13,#DIV/0!,395,234,11,2915,7,13,21,229,
2018,13,#DIV/0!,396,237,11,2931,7,13,22,230,
2019,13,#DIV/0!,398,241,10,2992,8,13,22,233,
2021,13,#DIV/0!,396,244,10,2990,8,12,21,234,
2022,13,#DIV/0!,406,248,10,2987,7,12,21,233,
2023,13,#DIV/0!,395,243,11,2939,7,12,21,229,
2024,13,#DIV/0!,394,242,11,2921,7,12,21,227,
